Income,Age,Kidhome,Teenhome,marital_Single,marital_Divorced,marital_Widow,marital_Together,marital_Married,education_Basic,education_Graduation,education_Master,education_2n Cycle,education_PhD,Complain,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,AcceptedCmpOverall,MntWines,MntSweetProducts,MntFruits,MntMeatProducts,MntFishProducts,MntGoldProds,MntRegularProds,MntTotal,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Customer_Days
58138.0,63,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,635,88,88,546,172,88,1441,1529,3,8,10,4,7,2822
46344.0,66,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,1,6,2,6,15,21,2,1,1,2,5,2272
71613.0,55,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,426,21,49,127,111,42,692,734,1,8,2,10,4,2471
26646.0,36,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,3,4,20,10,5,43,48,2,2,0,4,6,2298
58293.0,39,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,173,27,43,118,46,15,392,407,5,5,3,6,5,2320
62513.0,53,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,520,42,42,98,0,14,688,702,2,6,4,10,6,2452
55635.0,49,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,235,49,65,164,50,27,536,563,4,7,3,7,6,2752
33454.0,35,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,76,1,10,56,3,23,123,146,2,4,0,4,8,2576
30351.0,46,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14,3,0,24,3,2,42,44,1,3,0,2,9,2547
5648.0,70,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,28,1,0,6,1,13,23,36,1,1,0,0,20,2267
7500.0,44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,16,11,11,16,29,45,1,2,0,3,8,2752
63033.0,61,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,194,112,61,480,225,30,1042,1072,1,3,4,8,2,2385
59354.0,68,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,233,5,2,53,3,14,282,296,3,6,1,5,6,2385
17323.0,33,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,14,17,6,5,36,41,1,1,0,3,8,2786
82800.0,74,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,1006,68,22,115,59,45,1225,1270,1,7,6,12,3,2741
41850.0,40,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,53,13,5,19,2,4,88,92,3,3,0,3,8,2711
37760.0,74,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84,12,5,38,150,28,261,289,2,4,1,6,7,2826
76995.0,71,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1012,16,80,498,0,176,1430,1606,2,11,4,9,5,2617
33812.0,35,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,24,17,19,30,39,55,94,2,2,1,3,6,2762
37040.0,38,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,86,38,2,73,69,48,220,268,1,4,2,5,8,2849
2447.0,41,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1725,1,1,1728,1729,15,0,28,0,1,2698
58607.0,71,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,867,0,0,86,0,19,934,953,3,2,3,9,8,2712
65324.0,66,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,384,32,0,102,21,5,534,539,3,6,2,9,4,2328
40689.0,69,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,270,6,3,27,39,99,246,345,7,7,1,5,8,2627
18589.0,51,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,12,4,25,15,13,49,62,2,2,1,3,7,2702
53359.0,44,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,173,6,4,30,3,41,175,216,4,5,1,4,7,2557
38360.0,31,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,36,21,2,42,20,10,111,121,2,2,1,4,3,2553
84618.0,55,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,684,66,100,801,21,0,1672,1672,1,6,9,10,2,2378
10979.0,31,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2,4,10,2,4,22,26,2,3,0,3,5,2197
38620.0,57,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,112,22,17,44,34,89,140,229,1,2,5,3,3,2573
40548.0,50,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,110,0,0,5,2,3,114,117,2,2,1,4,5,2786
46610.0,68,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,96,22,12,96,33,43,216,259,6,4,1,6,6,2767
68657.0,74,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,482,68,34,471,119,22,1152,1174,1,3,5,9,7,2653
49389.0,69,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1,0,19,2,3,59,62,1,2,0,3,7,2463
67353.0,50,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,702,8,17,151,0,35,843,878,5,5,6,12,2,2339
23718.0,44,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,7,3,14,15,36,9,45,3,3,1,2,7,2459
42429.0,47,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55,0,0,6,2,4,59,63,2,1,1,3,5,2297
48948.0,77,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,437,49,8,206,160,42,818,860,2,7,10,5,6,2672
80011.0,40,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,421,178,76,536,82,102,1191,1293,2,8,6,5,4,2585
20559.0,35,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,1,29,3,7,39,46,2,2,0,3,8,2633
21994.0,63,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,6,3,3,16,19,1,0,0,3,5,2711
7500.0,45,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,10,3,12,7,19,3,2,0,3,5,2429
79941.0,44,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,123,30,164,266,227,174,636,810,1,2,4,9,1,2160
7500.0,24,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,22,18,14,15,50,22,72,3,3,1,3,9,2756
41728.0,52,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,5,6,15,3,13,29,42,1,2,0,2,10,2560
72550.0,66,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,826,38,50,317,50,38,1243,1281,9,5,2,12,8,2757
65486.0,63,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,245,67,19,125,37,14,479,493,1,4,2,10,2,2207
79143.0,56,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,650,167,37,780,27,32,1629,1661,1,6,9,13,3,2846
35790.0,43,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,1,6,20,30,3,66,69,2,2,0,3,7,2702
82582.0,43,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,510,40,120,550,156,241,1135,1376,1,4,9,7,1,2181
66373.0,42,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,328,24,9,124,12,109,388,497,7,4,2,10,3,2541
82384.0,65,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,984,120,51,432,180,190,1577,1767,1,3,10,13,1,2746
70287.0,54,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,295,120,35,482,121,40,1013,1053,1,5,5,10,3,2612
27938.0,32,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1,0,8,2,5,19,24,1,1,0,4,3,2221
